章,問題文,日本語1,ラテン語1,日本語2,ラテン語2,日本語3,ラテン語3,日本語4,ラテン語4,日本語5,ラテン語5,日本語6,ラテン語6
§10,"胃がんなどの 転移 metastasis を起こすと、ウィルヒョウリンパ節が腫れて左の [ 1 ] に腫瘤として触れられ、これを [ 2 ] という",鎖骨上窩,fossa supraclavicularis,トロアジエ徴候,Troisier sign,,,,,,,,
§10,"右側の静脈角の所には [ 1 ] のほか右気管支縦隔リンパ本幹、右鎖骨下リンパ本幹 [ 2 ] が静脈に流入している (以上三者を総称して右リンパ本幹ともいう)",右頚リンパ本幹,truncus jugularis dexter,,truncus subclavius dexter,,,,,,,,
§10,"[ 1 ] は鎖骨下動脈から直接に、または甲状頚動脈から分枝した後、多くの場合、 [ 2 ] の前面を通り、腕神経叢と交叉し、 [ 3 ] の裏を通り抜けて背方に向かう",頚横動脈,a.transversa colli,前斜角筋,m.scalenus anterior,肩甲舌骨筋,m.omohyoideus,,,,,,
§10,"前斜角筋の内側縁近くで鎖骨下動脈から [ 1 ] が上に分枝しこの動脈からは 3 つの枝が出てくる",甲状頚動脈,truncus thyreocervicalis,,,,,,,,,,
§10,"【甲状頚動脈の枝(1)】 甲状腺 [ 1 ] に分布するのが最も重要な枝である [ 2 ] ",,gl.thyreoidea,下甲状腺動脈,a.thyreoidea inferior,,,,,,,,
§10,"【甲状頚動脈の枝(2)】 頚部の浅層で横隔神経にほぼ沿って前斜角筋の前面に上行する細い動脈が [ 1 ] ",上行頚動脈,a.cervicalis ascendens,,,,,,,,,,
§10,"【甲状頚動脈の枝(3)】 肩甲切痕 [ 1 ] の方に向かうのが [ 2 ] であり、これには腕神経叢の枝である [ 3 ] が近付いていく",,incisura scapulae,肩甲上動脈,a.suprascapularis,肩甲上神経,n.suprascapularis,,,,,,
§10,"右側では前斜角筋の後ろ、左側では同筋の内側で鎖骨下動脈から後ろに分枝するものとして [ 1 ] がある",肋頚動脈,truncus costocervicalis,,,,,,,,,,
§10,"前斜角筋の内側縁近くで、鎖骨下動脈から下方に分かれ出る [ 1 ] の基部がある",内胸動脈,a.thoracica interna,,,,,,,,,,
§10,"内胸動脈の分岐部の反対側(すなわち上方やや裏側)では [ 1 ] が鎖骨下動脈から分かれ出ている以上の動脈には同名の静脈が伴行している",椎骨動脈,a.vertebralis,,,,,,,,,,
§10,"椎骨動脈は頭蓋腔内に入った後に、延髄と橋の境の辺りで左右のものが合流して無対性の [ 1 ] になる。従って動脈硬化症などで鎖骨下動脈が椎骨動脈起始部よりも内側(心臓寄り)で閉塞すると腱側の椎骨動脈内の血流が脳底動脈を介して患側の椎骨動脈の方に逆流して、患側上肢への [ 2 ] になりえる。その結果として脳底動脈そのものの動きが不十分になるので、患側の上肢を動かすとめまいや一過性の失明、あるいは失神発作などの症状を起こすことがある。これを [ 3 ] ( [ 4 ] )という。",脳底動脈,basilar artery,側副循環路,collateral pathway,鎖骨下動脈盗血[流]症候群,subclavian steal syndrome,椎骨動脈逆流症候群,,,,,
§11,"肘における尺骨の肘頭 [ 1 ] の両側で上腕骨の [ 2 ] と [ 3 ] に触れられ、注意すれば外側上顆に接してすぐその遠位にある [ 4 ] にも触れられる",,olecranon,外側上顆,epicondylus lateralis,内側上顆,epicondylus medialis,橈骨頭,caput radii,,,,
§11,"手首の小指側の所で [ 1 ] の高まりがあり、親指側には橈骨の下端が突出している",尺骨頭,caput ulnae,,,,,,,,,,
§11,"肘頭の所では骨と皮膚の間の結び付きが緩いだけでなく [ 1 ] が存在するために皮膚がズレやすい",滑液包,bursa,,,,,,,,,,
§11,"腋窩近くで剖出した [ 1 ] を末梢の方に辿ると肘の前面では [ 2 ] という吻合枝によって [ 3 ] と連絡していることが多い",橈側皮静脈,v.cephalica,肘正中皮静脈,v.mediana cubiti ,尺側皮静脈,v.basilica,,,,,,
§11,"尺側皮静脈は肘の前面で筋膜を貫いてその裏に隠れ深部の静脈である [ 1 ] に注ぎその筋膜を貫く付近に [ 2 ] が認められる",上腕静脈,v.brachialis,肘リンパ節,lnn.cubitales,,,,,,,,
§11,"[ 1 ] は浅くて適当な深さ、付近に傷つけると危険なものが少ない、腕まくりにてすぐ出せるため [ 2 ] に好んで選ばれる",肘正中皮静脈,v.mediana cubiti,静脈内注射,intravenous injection,,,,,,,,
§11,"上腕と前腕をぐるりと包んでいる筋膜が [ 1 ] と [ 2 ] である",上腕筋膜,fascia brachii,前腕筋膜,fascia antebrachii,,,,,,,,
§11,"上腕筋膜と前腕筋膜からは、その構成線維の一部が [ 1 ] となって骨に向かい、屈筋群と伸筋群の間の仕切りを作っている",筋間中隔,septum intermusculare,,,,,,,,,,
§11,"[ 1 ] の構成様式は非常に変異が多い",腕神経叢,plexus brachialis,,,,,,,,,,
§11,"鎖骨よりも上では、Ｃ5 とＣ6 の前枝が吻合して [ 1 ] を作り、Ｃ7 の前枝は単独で [ 2 ] となり、Ｃ8 とＴ1 の前枝は吻合して [ 3 ] を形成する",上神経幹,truncus superior,中神経幹,truncus medius,下神経幹,truncus inferior,,,,,,
§11,"前斜角筋 [ 1 ] と中斜角筋の間で第１肋骨の上には [ 2 ] があり、ここを腕神経叢の基部と [ 3 ] が通る",,m.scalenus anterior,斜角筋隙,scalene space,鎖骨下動脈,a.subclavia,,,,,,
§11,"斜角筋隙で腕神経叢や鎖骨下動脈が圧迫さてると、頚部から上肢にかけての放散痛や鈍痛などの [ 1 ] と呼ばれる症状を呈する",[前]斜角筋症候群,scalenus syndrome,,,,,,,,,,
§11,"斜角筋症候群は最近では [ 1 ] ( [ 2 ] )とも呼ばれる。胸郭出口とは胸郭上口のことである。",胸郭出口症候群,thoracic outlet syndrome,,TOS,,,,,,,,
§11,"鎖骨よりも下では上神経幹と中神経幹からの枝が吻合して [ 1 ] を作り、下神経幹はそのまま [ 2 ] となり上・中・下神経幹からの枝は更に鎖骨下動脈の裏側で [ 3 ] を形成しており、これら 3 神経束が鎖骨下動脈ないし腋窩動脈を取り巻く。",外側神経束,fasciculus lateralis,内側神経束,fasciculus medialis,後神経束,fasciculus posterior,,,,,,
§11,"[ 1 ] の末梢は 2 本の大きな枝に分かれており、外側の枝は [ 2 ] であり、内側の枝は [ 3 ] の [ 4 ] である",外側神経束,fasciculus lateralis,筋皮神経,n.musculocutaneus,正中神経,n.medianus,外側根,radix lateralis,,,,
§11,"[ 1 ] はまもなく 4 枝に分かれ、その一つは正中神経の [ 2 ] で、上述の外側根と吻合して [ 3 ] を形成し、あとの 3 枝は [ 4 ] とこれより遥かに細い二つの皮神経( [ 5 ] と [ 6 ] )",内側神経束,fasciculus medialis,内側根,radix medialis,正中神経,n.medianus,尺骨神経,n.ulnaris,内側前腕皮神経,n.cutaneus antebrachii medialis,内側上腕皮神経,n.cutaneus brachii medialis
§11,"大胸筋と小胸筋に分布していた 胸筋神経 [ 1 ] を腕神経叢の方に辿ると、腕神経叢の外側神経束から出ているのが [ 2 ] であり、内側神経束から出ているのが [ 3 ] であることが分かる",,nn.pectorales,外側胸筋神経,n.pectoralis lateralis,内側胸筋神経,n.pectoralis medialis,,,,,,
§11,"後神経束 [ 1 ] は [ 2 ] と [ 3 ] に分かれる",,fasciculus posterior,橈骨神経,n.radialis,腋窩神経,n.axillaris,,,,,,
§11,"[ 1 ] は第 2～11 胸神経以外は全て互いに吻合して、 [ 2 ] (p.17)、 [ 3 ] (p.39)、 [ 4 ] (p.187)、 [ 5 ] (p.249) を作る",脊髄神経の前枝,r.ventralis,頚神経叢,plexus cervicalis,腕神経叢,plexus brachialis,腰神経叢,plexus lumbalis,仙骨神経叢,plexus sacralis,,
§12,"鎖骨(外側部 1/3)・肩峰・肩甲棘から起こって上腕の中央部で上腕骨に停止するのが [ 1 ] であり、この筋に分布する神経は腋窩神経 [ 2 ] の枝であり、また、この筋は鎖骨から起こる部分は [ 3 ] に接している",三角筋,m.deltoideus,,n.axillaris,大胸筋,m.pectoralis major,,,,,,
§12,"三角筋の内側下方には [ 1 ] があり、これらの両筋の間の溝の表層には [ 2 ] が走っている",上腕二頭筋,m.biceps brachii,橈側皮静脈,v.cephalica,,,,,,,,
§12,"上腕二頭筋の二つの頭が [ 1 ] と [ 2 ] で、前者は肩関節内、後者は [ 3 ] で起始し、上腕の下半で合流して橈骨へ停止する",長頭,caput longum,短頭,caput breve,烏口突起,proc.coracoideus,,,,,,
§12,"腱膜状になって前腕筋膜に放散して終わる上腕二頭筋の停止腱の一部が [ 1 ] である",上腕二頭筋腱膜,aponeurosis musculi bicipitis brachii,,,,,,,,,,
§12,"烏口突起からは上腕二頭筋の短頭と一緒に [ 1 ] が起こり、この筋を貫く太い神経が [ 2 ] である",烏口腕筋,m.coracobrachialis,筋皮神経,n.musculocutaneus,,,,,,,,
§12,"肘を曲げて上腕二頭筋の筋腹を浮かせるとその下層に、上腕骨から起こって尺骨の上部に停止する [ 1 ] があり、これに筋皮神経が分布しているのが見える",上腕筋,m.brachialis,,,,,,,,,,
§12,"上腕二頭筋と上腕筋の間には腋窩動静脈の続きである [ 1 ] と [ 2 ] が寄り添って走っている",上腕動静脈,a.et v.brachialis,正中神経,n.medianus,,,,,,,,
§12,"[ 1 ] は 2 条に分かれて走っていることが多い。また 15～25%の頻度で [ 2 ] が存在する",上腕静脈,v.brachialis,浅上腕動脈,a.brechialis superficialis,,,,,,,,
§12,"上腕動脈からは上腕骨の上 1/3 の付近でかなり太い枝である [ 1 ] は橈骨神経に伴行しながら深部に向かう",上腕深動脈,a.profunda brachii,,,,,,,,,,
§12,"既に一部剖出した [ 1 ] の上腕静脈への注ぎ方を見るとかなりの個体差があることが分かる",尺側皮静脈,v.basilica,,,,,,,,,,
§12,"[ 1 ] を上に辿ると二またに分かれて腕神経叢の [ 2 ] から起こっており、この二またの間に挟まれて [ 3 ] が走っている",正中神経,n.medianus,内側神経束と外側神経束,fasciculus medialis et lateralis,腋窩動脈,a.axillaris,,,,,,
§12,"[ 1 ] は元の方で [ 2 ] から起こり、末梢の方へ辿ると上腕の屈筋群への筋枝を出したのち、前腕の皮膚に分布する神経である [ 3 ] となっている。またこの神経の大きな特徴として [ 4 ] を貫く。",筋皮神経,n.musculocutaneus,外側神経束,fasciculus lateralis,外側前腕皮神経,n.cutaneus antebrachii lateralis,烏口腕筋,m.coracobrachialis,,,,
§12,"筋皮神経が烏口腕筋を貫く場所はこの筋の起始である烏口突起から約 4cm 遠位のことが多いが、稀に見られるこの場所が非常に近位で烏口突起寄りケースでは肩関節の習慣性ないし [ 1 ] の外科手術の際に筋皮神経が切断されて麻痺を起こす恐れがある",反復性脱臼,recurrent dislocation,,,,,,,,,,
§12,"内側上腕皮神経 [ 1 ] と内側前腕皮神経 [ 2 ] をそれぞれ元の方にたどるといずれも [ 3 ] から出ていることが確かめられる",,n.cutaneus brachii medialis,,n.cutaneus antebrachii medialis,内側神経束,fasciculus medialis,,,,,,
§12,"腕神経叢の後神経束から起こり、上腕骨の内側から後ろへ回り込んで下行する太い神経が [ 1 ] ",橈骨神経,n.radialis,,,,,,,,,,
§12,"また後神経束からは [ 1 ] が肩甲下筋の下縁近くで後ろの方に分れており、これに伴行する細い動脈が 腋窩動脈 a.axillaris の枝である、 [ 2 ] ",腋窩神経,n.axillaris,後上腕回旋動脈,a.circumflexa humeri posterior,,,,,,,,
§12,"腋窩静脈 [ 1 ] とその続きである上腕静脈 [ 2 ] の表面に所々ある小さい膨らみは [ 3 ] の位置に一致している",,v.axillaris,,v.brachialis,静脈弁,valvula venosa,,,,,,
§13,"[ 1 ] は肋骨から起こり肩甲骨と胸郭の間を走って肩甲骨の内側縁に停止する",前鋸筋,m.serratus anterior,,,,,,,,,,
§13,"片側の長胸神経が麻痺して前鋸筋の機能不全が起こる [ 1 ] の時に腕立て伏せをさせたりすると病側肩甲骨の内側縁が飛び出て天使の翼のように見えるのを [ 2 ] という",前鋸筋麻痺,serratus paralysis,翼状肩甲骨,winged scapula,,,,,,,,
§13,"[ 1 ] は前鋸筋に分布する",長胸神経,n.thoracicus longus,,,,,,,,,,
§13,"前鋸筋のうち肋骨から起こる所では [ 1 ] の起始と鋸歯状にかみ合う",外腹斜筋,m.obliquus externus abdominis,,,,,,,,,,
§13,"肩甲骨の前面にある広いくぼみから起こり上腕骨に停止するのが [ 1 ] で、腋窩の後壁の大部分を作り、 [ 2 ] が数個集まった筋で上腕骨の [ 3 ] で停止する",肩甲下筋,m.subscapularis,羽状筋,m.bipennatus,小結節,tuberculum minus,,,,,,
§13,"肩甲下筋の支配神経である [ 1 ] は腕神経叢の後神経束から起こる",肩甲下神経,nn.subscapulares,,,,,,,,,,
§14,"上腕三頭筋 [ 1 ] では肩甲骨から起こる [ 2 ] と上腕骨上半の背面から起こる [ 3 ] は容易に判別でき、両頭の間の深部には [ 4 ] が求められ、 [ 5 ] の枝がこれに伴行している",,m.triceps brachii,長頭,caput longum,外側頭,caput laterale,橈骨神経,n.radialis,上腕深動脈,a.profunda brachii,,
§14,"上腕三頭筋の [ 1 ] は上腕骨下半の背面から起こり大部分が長頭と外側頭に覆われており、これらの 3 頭は肘のすぐ上で合流し共通の腱で尺骨の肘頭 [ 2 ] に停止するが、内側頭の一部の [ 3 ] はこの共通腱には加わらず肘関節の関節包に停止する",内側頭,caput mediale,,olecranon,肘関節筋,m.articulars cubiti,,,,,,
§14,"上腕骨の外側上顆 [ 1 ] からは [ 2 ] という小さな筋束が起こり、肘頭のすぐ下で尺骨の後面に停止している",,epicondylus lateralis,肘筋,m.anconeus,,,,,,,,
§14,"[ 1 ] は上腕三頭筋の外側頭と内側頭の間をすり抜け、この枝は上腕三頭筋に分布する",橈骨神経,n.radialis,,,,,,,,,,
§14,"[ 1 ] は後頭骨と全頸椎・全胸椎の棘突起にわたって起始し、鎖骨、肩峰から肩甲棘の上縁にわたって、肩甲棘の内側端に停止する",僧帽筋,,,,,,,,,,,
§14,"[ 1 ] を下層から剥し、起始(棘突起)から 2 横指ほど離れた所でこれを切断し、断端を外側にめくり返しながら、その裏側で [ 2 ] 、頚神経叢から僧帽筋に分布する枝などを剖出し、 [ 3 ] の枝を観察できる",僧帽筋,m.trapezius,副神経,n.accessorius,頚横動脈,a.transversa colli,,,,,,
§14,"第 1～4 頸椎の横突起から起こり肩甲骨内側縁の上端に停止して肩甲骨を拳上する筋が [ 1 ] ",肩甲挙筋,m.levator scapulae,,,,,,,,,,
§14,"第(5)6頸椎～第 4(5)胸椎の各棘突起から起こって、肩甲骨の内側縁に停止するのが [ 1 ] であり、第 6・7 頸椎から起こり、肩甲棘の高さよりも上で肩甲骨に停止するものを [ 2 ] といい、それ以外の部分を [ 3 ] と呼ぶ",菱形筋,mm.rhomboidei,小菱形筋,m.rhomboideus minor,大菱形筋,m.rhomboideus major,,,,,,
§14,"肩甲挙筋と菱形筋の支配神経である [ 1 ] は両筋の間の深部、特に肩甲挙筋の停止近くにあり、この神経に伴行する動脈が [ 2 ] の枝である",肩甲背神経,n.dorsalis scapulae,頚横動脈,a.transversa colli,,,,,,,,
§14,"肩甲骨の背面では肩甲棘よりも上で起こる [ 1 ] と肩甲棘よりも下で起こる [ 2 ] とが厚い筋膜に覆われて見えるがこれらが停止する上腕骨の大結節は [ 3 ] に隠れていてここでは観察できない",棘上筋,m.supraspinatus,棘下筋,m.infraspinatus,三角筋,m.deltoideus,,,,,,
§14,"肩甲骨外側縁からは [ 1 ] が起こり、肩甲骨の下端からは [ 2 ] が起こるが前者の上縁と棘下筋の下縁との境はあまり明瞭でないことが多い",小円筋,m.teres minor,大円筋,m.teres major,,,,,,,,
§14,"大円筋・小円筋・上腕三頭筋長頭 の 3 者によって取り囲まれる三角形の隙間は [ 1 ] と呼ばれ、ここを [ 2 ] が通る",内側腋窩隙,mediale Achsellucke,肩甲回旋動静脈,a.et v.circumflexa scapulae,,,,,,,,
§14,"大円筋・上腕三頭筋長頭・小円筋・上腕骨の 4 者によって囲まれる四辺形の隙間は [ 1 ] と呼ばれ、ここには [ 2 ] と [ 3 ] が通る",外側腋窩隙,laterale Achsellücke,腋窩神経,n.axillaris,後上腕回旋動脈,a.circumflexa humeri posterior,,,,,,
§14,"肩甲骨の上縁外側方に [ 1 ] があり、その上には [ 2 ] が張っており、ここを [ 3 ] が通っている",肩甲切痕,incisura scapulae,上肩甲横靭帯,lig.transversum scapulae superius,肩甲上神経・動脈,n.et a.suprascapularis,,,,,,
§14,"肩甲上神経が [ 1 ] の枝であり、肩甲上動脈が [ 2 ] から起始",腕神経叢,plexus brachialis,鎖骨下動脈,a.subclavia,,,,,,,,
§14,"肩甲上神経の [ 1 ] の際には肩甲切痕を目標にして注射針を刺し入れるが、この時に針が行き過ぎると [ 2 ] に穴を開けて思わぬ合併症を引き起こす危険がある",伝達麻酔,conduction anesthesia,胸膜,pleura,,,,,,,,
§14,"肩甲骨の運動はＡ： [ 1 ] 、Ｂ： [ 2 ] 、Ｃ： [ 3 ] の 3 種に分類できる",上下運動,elevation and depression,肩甲骨の中心を軸とした 回旋,rotation,外側・内側への横滑り,protraction and retraction,,,,,,
§15,"【腹臥位①】 肩甲骨を付けたままの上肢を体幹から切り離すには、まず広背筋 [ 1 ] を筋腹の中央で切ったのち、 [ 2 ] と [ 3 ] をそれぞれ筋腹中央で切る",,m.latissimus dorsi,肩甲挙筋,m.levator scapulae,菱形筋,mm.rhomboidei,,,,,,
§15,"【腹臥位②】 断端をめくり返して、これらを支配する [ 1 ] をよく剖出する",肩甲背神経,n.dorsalis scapulae,,,,,,,,,,
§15,"【腹臥位③】 肩甲背神経が中斜角筋 [ 1 ] を貫く所を確かめたのち、肩甲挙筋に近い所でこの神経も切断する",,m.scalenus medius,,,,,,,,,,
§15,"【背臥位①】 [ 1 ] を肩甲骨の周辺に分布する枝である [ 2 ] や [ 3 ] が分かれ出る所よりも近位(内側)で切る",鎖骨下動静脈,a.et v.subclavia,肩甲上動静脈,a.et v.suprascapularis,頚横動静脈,a.et v.transversa colli,,,,,,
§15,"【背臥位②】 [ 1 ] の外側縁よりも 1 横指ほど外側の所で [ 2 ] の [ 3 ] をそれぞれ切断する",前斜角筋,m.scalenus anterior,腕神経叢,plexus brachialis,上・中・下神経幹,"truncus superior,medius et inferior",,,,,,
§15,"【背臥位③】 [ 1 ] を適当な場所で切り、 [ 2 ] を中間腱よりも外側の筋腹で切り、その近所で [ 3 ] も切る",肋間上腕神経,n.intercostobrachialis,肩甲舌骨筋,m.omohyoideus,副神経,n.accessorius,,,,,,
§15,"【背臥位④】 上肢を付けたままの肩甲骨が [ 1 ] だけで体幹とつながっていることになりこの筋の停止(肩甲骨の内側縁・上角・下角)がよく観察できる",前鋸筋,m.serratus anterior,,,,,,,,,,
§15,"前鋸筋の第 2 肋骨からの起始部は特に背中にあり、しかも腱性になっているため [ 1 ] で第 2 肋骨の同定に利用されることがある",胸郭形成術,thoracoplasty,,,,,,,,,,
§16,"[ 1 ] は手首の近くでは輪状に走る線維が目立ち厚さも増しており、この深層には [ 2 ] が存在する",前腕筋膜,fascia antebrachii,屈筋支帯,retinaculum flexorum,,,,,,,,
§16,"一番尺側にあるのが [ 1 ] ( [ 2 ] )で、この筋の一部は尺骨(肘頭の内側)からも起こり、前腕の中ほどで腱性になり手根の所で [ 3 ] に停止する",尺側手根屈筋,m.flexor carpi ulnaris,,FCU,豆状骨,os pisiforme,,,,,,
§16,"尺側手根屈筋のすぐ橈側で内側上顆から起こるのが [ 1 ] であり、この腱が [ 2 ] の材料として利用されることがある",長掌筋,m.palmaris longus,腱移植,tendon transplantation,,,,,,,,
§16,"更に橈側には初め扁平でまもなく丸味を帯びて手首の所で屈筋支帯の下に隠れる腱を持つ [ 1 ] ( [ 2 ] )がある",橈側手根屈筋,m.flexor carpi radialis,,FCR,,,,,,,,
§16,"内側上顆から起こる筋として最も橈側へ走るものが [ 1 ] である",円回内筋,m.pronator teres,,,,,,,,,,
§16,"長掌筋と橈側手根屈筋の下層に [ 1 ] ( [ 2 ] )があり、その筋腹はかなり幅広く４本の腱を出している",浅指屈筋,m.flexor digitorum superficialis,,FDS,,,,,,,,
§16,"上腕二頭筋腱膜 [ 1 ] を切ると、その下層に [ 2 ] があり、これはまもなく 2 本の枝( [ 3 ] ) と [ 4 ] に分かれている",,aponeurosis musculi bicipitis brachii,上腕動脈,a.brachialis,橈骨動脈,a.radialis,尺骨動脈,a.ulnaris,,,,
§16,"2 本の枝の外側(母指側)の枝である [ 1 ] は手首の少し上で橈側手根屈筋の腱のわきを走る部分が最も表在性で、ここが生体で [ 2 ] をとる場所である",橈骨動脈,a.radialis,脈,pulse,,,,,,,,
§16,"腋窩の近くで表層を剖出した [ 1 ] を更に深く解剖すると、内側上顆から起こる表層の [ 2 ] と更に深くにある尺骨鈎状突起から起こる [ 3 ] の 二つの頭が区別でき、この両頭の間を 95～97%の頻度で [ 4 ] が貫いている",円回内筋,m.pronator teres,上腕頭,caput humerale,尺骨頭,caput ulnare,正中神経,n.medianus,,,,
§16,"肘窩では [ 1 ] に皮静脈が注ぎ込む所を観察し、また上腕筋 [ 2 ] の尺骨への停止もなるべく追求しておく",上腕静脈,v.brachialis,,m.brachialis,,,,,,,,
§16,"尺側手根屈筋の腱と筋腹を持ち上げて、その裏を走っている [ 1 ] と [ 2 ] を剖出",尺骨動脈,a.ulnaris,尺骨神経,n.ulnaris,,,,,,,,
§16,"これらを上の方に辿ると、前者は肘窩の近くで橈骨動脈と合流して [ 1 ] となる。内側上顆の後ろを通る後者は生体の皮膚の上からも容易に触れられる浅さにあるので肘を物にぶつけると痛い",上腕動脈,a.brachialis,,,,,,,,,,
§16,"尺骨神経が圧迫されることにより徐々に起こる麻痺を [ 1 ] ( [ 2 ] )という",遅延型尺骨神経麻痺,delayed ulnar palsy,肘部管症候群,cubital tunnel syndrome,,,,,,,,
§16,"浅指屈筋を更に浮かせると、下層に [ 1 ] ( [ 2 ] )が見え、この筋の筋腹も幅が広く 4 本の腱を出している",深指屈筋,m.flexor digitorum profundus,,FDP,,,,,,,,
§16,"[ 1 ] は円回内筋を貫いたのち、浅指屈筋の下をくぐって下行している。これに伴行して前骨間動脈の細い枝( [ 2 ] )が存在することがある。",正中神経,n.medianus,正中動脈,a.mediana,,,,,,,,
§16,"手首を屈曲した状態で指を曲げる運動を頻繁に繰り返すと、正中神経が屈筋腱と屈筋支帯の間で圧迫されて痛みや指の運動障害を引き起こすことがあり、これを [ 1 ] という",手根管症候群,carpal tunnel syndrome,,,,,,,,,,
§16,"上腕骨から起こる [ 1 ] の筋の下(裏側)に沿って橈骨神経の枝(浅枝 [ 2 ] )が走る",腕橈骨筋,m.brachioradialis,,r.superficialis,,,,,,,,
§16,"腕橈骨筋と浅指屈筋の下層には深指屈筋と並んで [ 1 ] があり、この筋と深指屈筋との間を深く分け入ると尺骨動脈の枝である [ 2 ] と正中神経の枝である [ 3 ] があり、これらを末梢に辿ると [ 4 ] が見え、この筋の裏に前骨間動脈・神経が隠れる",長母指屈筋,m.flexor pollicis longus,前骨間動脈,a.interossea,前骨間神経,n.interosseus anterior,方形回内筋,m.pronator quadratus,,,,
§16,"橈骨の上半部に巻きつくように停止している [ 1 ] を橈骨神経の本幹(深枝 [ 2 ] )が貫いて前腕の伸側に向かっている",回外筋,m.supinator,,r.profundus,,,,,,,,
§16,"橈骨神経の深枝が回外筋を貫く付近では筋膜の結合組織が固く靭帯状になっているので、時にこの深枝がここで罠 trap にかかったように圧迫されて [ 1 ] を引き起こすことがある",絞扼神経障害,entrapment neuropathy,,,,,,,,,,
§16,"[ 1 ] は前腕の屈筋群のほぼ全部に枝を与えているが、例外として尺側手根屈筋は [ 2 ] の支配を受け、また深指屈筋にも一部尺骨神経が枝を送っている",正中神経,n.medianus,尺骨神経,n.ulnaris,,,,,,,,
§16,"腕橈骨筋は元来、伸筋群に属し、 [ 1 ] の支配を受ける",橈骨神経,n.radialis,,,,,,,,,,
§17,"手背(手の甲) [ 2 ] の皮を薄く剥ぎ、皮下の疎性結合組織を取り除きながら皮静脈(橈側・尺側皮静脈の枝)と皮神経(橈骨神経・尺骨神経の枝)を剖出する",,dorsum manus,,,,,,,,,,
§17,"中指の中央を境として、それよりも母指側には [ 1 ] の枝が、小指側には [ 2 ] の枝が普通分布している",橈骨神経,n.radialis,尺骨神経,n.ulnaris,,,,,,,,
§17,"臨床で神経麻痺の診断のために皮膚の知覚障害の有無を調べる部位は各神経分布領域の重複を除外した各神経の絶対的支配域である知覚神経の [ 1 ] ( [ 2 ] )が選ばれる",固有支配域,area of isolated supply,単独支配域,,,,,,,,,
§17,"前腕筋膜の続きである [ 1 ] は手首の所では横走する線維が多く、しかも肥厚して [ 2 ] を形成している",手背筋膜,fascia dorsalis manus,伸筋支帯,retinaculum extensorum,,,,,,,,
§17,"肘頭の近くにその停止部が扇状に放散して尺骨に付く [ 1 ] があり、そのすぐそばに一部が上腕骨の外側上顆から、一部が尺骨から起こり第 5 中手骨に停止する [ 2 ] ( [ 3 ] )がある",肘筋,m.anconeus,尺側手根伸筋,m.extersor carpi ulnaris,,ECU,,,,,,
§17,"尺側手根伸筋の橈側で [ 1 ] があり、その起始部は前者と癒合しながら外側上顆から起こっており、これから出ている長い 4 本の腱は、指のまたよりもやや手前で [ 2 ] / [ 3 ] という線維束で互いに連絡している",[総]指伸筋,m.extensor digitorum,腱間結合,connexus intertendineus,,intertendinous connection,,,,,,
§17,"指伸筋の腱が伸筋支帯をくぐるあたりでは、 [ 1 ] が腱を取り巻いている",滑液鞘,vagina synovialis (tendinis),,,,,,,,,,
§17,"手足の筋の腱が手首や足首の狭い所を錯綜して走りながら滑らかに動くことができるのは [ 1 ] が巧妙に配置されているためである",腱鞘,tendon sheath,,,,,,,,,,
§17,"腱鞘は袋のような [ 1 ] とこれを外面から補強する [ 2 ] とで構成される",滑液鞘,vagina synovialis,線維鞘,vagina fibrosa,,,,,,,,
§17,"滑液鞘は [ 1 ] と呼ばれる一種の漿膜でできており、その中には潤滑油の働きをする粘り気の強い [ 2 ] が入っている",滑膜,membrana synovialis,滑液,synovia,,,,,,,,
§17,"滑液鞘は腱をじかに覆う部分と、外回りを包む部分の二重になっていて両者の折れ返り部は [ 1 ] と呼ばれ、腱を養う血管や神経の通り道になっている",腱間膜,mesotendineum,,,,,,,,,,
§17,"指伸筋の筋腹の下部からは [ 1 ] という弱い筋が分かれ出て、その弱い腱は滑液鞘に包まれながら伸筋支帯の第 5 管を通って、 [ 2 ] ( [ 3 ] )の背面で腱膜に移行している",小指伸筋,m.extensor digiti minimi,小指,digitus minimus,第5指,,,,,,,
§17,"指伸筋を持ち上げると、その下層に尺骨と骨間膜の背面から起こり、その腱が伸筋支帯の第 4 管をくぐって手背に出て指伸筋に示指への腱に合流する [ 1 ] が見える",示指伸筋,m.extensor indicis,,,,,,,,,,
§17,"示指伸筋のすぐ橈側で尺骨と骨間膜から起こる [ 1 ] ( [ 2 ] )の腱は滑液鞘に包まれながら伸筋支帯の第 3 管を通り、急に母指の方に進路を変えて斜めに手背に出て、母指の末節骨の基底に停止する",長母指伸筋,m.extensor pollicis longus,,EPL,,,,,,,,
§17,"長母指伸筋の更に橈側寄りで尺骨・骨間膜・橈骨から起こる [ 1 ] と [ 2 ] の腱は、共通の滑液鞘に包まれながら、並んで伸筋支帯の第 1 管を通って母指に向かい、前者は母指の基節骨の基底に、後者は第 1 中手骨の基底に停止する",短母指伸筋,m.extensor pollicis brevis,長母指外転筋,m.abductor pollicis longus,,,,,,,,
